"yr","naics_code","employee_size","revenue_category","number_of_biz"
"2018","313","7","9","0"
"2018","313","7","10","0"
"2018","313","7","11","0"
"2018","313","7","12","0"
"2018","313","7","13","0"
"2018","313","7","88","0"
"2018","313","8","0","0"
"2018","313","8","1","0"
"2018","313","8","2","0"
"2018","313","8","3","0"
"2018","313","8","4","0"
"2018","313","8","5","0"
"2018","313","8","6","0"
"2018","313","8","7","0"
"2018","313","8","8","0"
"2018","313","8","9","0"
"2018","313","8","10","0"
"2018","313","8","11","0"
"2018","313","8","12","0"
"2018","313","8","13","0"
"2018","313","8","88","0"
"2018","313","9","0","0"
"2018","313","9","1","0"
"2018","313","9","2","0"
"2018","313","9","3","0"
"2018","313","9","4","0"
"2018","313","9","5","0"
"2018","313","9","6","0"
"2018","313","9","7","0"
"2018","313","9","8","0"
"2018","313","9","9","0"
"2018","313","9","10","0"
"2018","313","9","11","0"
"2018","313","9","12","0"
"2018","313","9","13","0"
"2018","313","9","88","0"
"2018","313","10","0","0"
"2018","313","10","1","0"
"2018","313","10","2","0"
"2018","313","10","3","0"
"2018","313","10","4","0"
"2018","313","10","5","0"
"2018","313","10","6","0"
"2018","313","10","7","0"
"2018","313","10","8","0"
"2018","313","10","9","0"
"2018","313","10","10","0"
"2018","313","10","11","0"
"2018","313","10","12","0"
"2018","313","10","13","0"
"2018","313","10","88","0"
"2018","313","11","0","0"
"2018","313","11","1","0"
"2018","313","11","2","0"
"2018","313","11","3","0"
"2018","313","11","4","0"
"2018","313","11","5","0"
"2018","313","11","6","0"
"2018","313","11","7","0"
"2018","313","11","8","0"
"2018","313","11","9","0"
"2018","313","11","10","0"
"2018","313","11","11","0"
"2018","313","11","12","0"
"2018","313","11","13","0"
"2018","313","11","88","0"
"2018","313","12","0","0"
"2018","313","12","1","0"
"2018","313","12","2","0"
"2018","313","12","3","0"
"2018","313","12","4","0"
"2018","313","12","5","0"
"2018","313","12","6","0"
"2018","313","12","7","0"
"2018","313","12","8","0"
"2018","313","12","9","0"
"2018","313","12","10","0"
"2018","313","12","11","0"
"2018","313","12","12","0"
"2018","313","12","13","0"
"2018","313","12","88","0"
"2018","313","88","0","0"
"2018","313","88","1","1"
"2018","313","88","2","15"
"2018","313","88","3","15"
"2018","313","88","4","18"
"2018","313","88","5","39"
"2018","313","88","6","16"
"2018","313","88","7","20"
"2018","313","88","8","4"
"2018","313","88","9","2"
"2018","313","88","10","0"
"2018","313","88","11","0"
"2018","313","88","12","0"
"2018","313","88","13","0"
"2018","313","88","88","130"
"2018","314","1","0","1"
"2018","314","1","1","11"
"2018","314","1","2","32"
"2018","314","1","3","188"
"2018","314","1","4","320"
"2018","314","1","5","1"
"2018","314","1","6","0"
"2018","314","1","7","0"
"2018","314","1","8","0"
"2018","314","1","9","0"
"2018","314","1","10","0"
"2018","314","1","11","0"
"2018","314","1","12","0"
"2018","314","1","13","0"
"2018","314","1","88","553"
"2018","314","2","0","0"
"2018","314","2","1","0"
"2018","314","2","2","0"
"2018","314","2","3","6"
"2018","314","2","4","47"
"2018","314","2","5","21"
"2018","314","2","6","0"
"2018","314","2","7","0"
"2018","314","2","8","0"
"2018","314","2","9","0"
"2018","314","2","10","0"
"2018","314","2","11","0"
"2018","314","2","12","0"
"2018","314","2","13","0"
"2018","314","2","88","74"
"2018","314","3","0","0"
"2018","314","3","1","0"
"2018","314","3","2","0"
"2018","314","3","3","0"
"2018","314","3","4","1"
"2018","314","3","5","16"
"2018","314","3","6","10"
"2018","314","3","7","0"
"2018","314","3","8","0"
"2018","314","3","9","0"
"2018","314","3","10","0"
"2018","314","3","11","0"
"2018","314","3","12","0"
"2018","314","3","13","0"
"2018","314","3","88","27"
"2018","314","4","0","0"
"2018","314","4","1","0"
"2018","314","4","2","0"
"2018","314","4","3","0"
"2018","314","4","4","0"
"2018","314","4","5","4"
"2018","314","4","6","96"
"2018","314","4","7","2"
"2018","314","4","8","0"
"2018","314","4","9","0"
"2018","314","4","10","0"
"2018","314","4","11","0"
"2018","314","4","12","0"
"2018","314","4","13","0"
"2018","314","4","88","102"
"2018","314","5","0","0"
"2018","314","5","1","0"
"2018","314","5","2","0"
"2018","314","5","3","0"
"2018","314","5","4","0"
"2018","314","5","5","0"
